12:39:24.208 leos [main] [] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/api/secured/**'], [org.springframework.security.web.context.SecurityContextPersistenceFilter@4f3d49e4, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2a0cc666, org.springframework.security.web.header.HeaderWriterFilter@ecd3a9b, eu.europa.ec.leos.api.auth.LeosApiAuthenticationFilter@fbcc62a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@12c66345, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7dd4f726, org.springframework.security.web.access.ExceptionTranslationFilter@502cd238, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2b8502e7]
12:39:24.296 leos [main] [] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: org.springframework.security.web.util.matcher.AnyRequestMatcher@1, [org.springframework.security.web.context.SecurityContextPersistenceFilter@3f31ccef, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6f0ea5de, org.springframework.security.web.header.HeaderWriterFilter@247246ea, org.springframework.security.web.authentication.preauth.j2ee.J2eePreAuthenticatedProcessingFilter@2523730b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@734db023, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@36aacc46, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@13653a0b, org.springframework.security.web.access.ExceptionTranslationFilter@6c8a806c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@678f685f]
12:39:24.536 leos [main] [] WARN  o.a.activemq.artemis.core.server - AMQ222018: AIO was not located on this platform, it will fall back to using pure Java NIO. If your platform is Linux, install LibAIO to enable the AIO journal
12:39:24.538 leos [main] [] WARN  o.a.activemq.artemis.core.server - AMQ222269: Please use a fixed value for "journal-pool-files". Default changed per https://issues.apache.org/jira/browse/ARTEMIS-1628
12:39:25.716 leos [main] [] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
12:39:25.870 leos [main] [] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 8143 ms
12:39:26.116 leos [main] [] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcher': initialization started
12:39:26.119 leos [main] [] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'dispatcher-servlet': startup date [Tue Feb 01 12:39:26 CET 2022]; parent: Root WebApplicationContext
12:39:26.120 leos [main] [] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/dispatcher-servlet.xml]
12:39:26.249 leos [main] [] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
12:39:26.364 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/token],methods=[GET],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getToken(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
12:39:26.366 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/renditionfromleg],methods=[POST],produces=[application/octet-stream]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getPdfFromLegFile(org.springframework.web.multipart.MultipartFile,java.lang.String)
12:39:26.366 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/secured/search/{userId}/{documentRef}],methods=[GET],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getDocumentForUser(java.lang.String,java.lang.String)
12:39:26.367 leos [main] [] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/searchlegfile/{legFileId}],methods=[GET],produces=[application/octet-stream]}" onto public org.springframework.http.ResponseEntity<java.lang.Object> eu.europa.ec.leos.services.controllers.LeosApiController.getLegFile_compatibility(java.lang.String)
